Participants,Type of Meal,Date of Meal,Meal Price,Year,Day of The Month,Day of The Week
['Michelle Bringle' 'John Rainey'],Lunch,2017-11-18 12:00:00+01:00,272,2017,14,Tuesday
['John Rainey'],Lunch,2014-02-13 12:00:00+01:00,775,2014,12,Wednesday
['Michel Powers'],Dinner,2017-02-20 22:00:00+01:00,355,2017,25,Saturday
['Roger White' 'Rena Langdon' 'Michel Powers'],Lunch,2014-10-22 14:00:00+02:00,500,2014,27,Monday
['Teresa Sparks'],Dinner,2017-12-18 21:00:00+01:00,776,2017,22,Friday
['Michel Powers'],Lunch,2014-03-30 12:00:00+02:00,635,2014,4,Friday
['Roger White' 'Michel Powers' 'Teresa Sparks'],Lunch,2016-05-19 12:00:00+02:00,546,2016,24,Tuesday
['Rena Langdon' 'Roger White'],Breakfast,2018-12-05 08:00:00+01:00,839,2018,10,Monday
['Michel Powers'],Breakfast,2017-10-29 07:00:00+01:00,205,2017,3,Friday
['Michel Powers'],Dinner,2017-07-06 20:00:00+02:00,401,2017,8,Saturday
"['Consuelo Toscano' 'Gerald Mackay' 'Elizabeth Streeter' 'Ernest Broome'
 'Chris Yeend']",Lunch,2016-10-04 13:00:00+02:00,22,2016,30,Friday
['Elizabeth Streeter' 'Earl Ward' 'Consuelo Toscano'],Lunch,2014-05-13 13:00:00+02:00,326,2014,10,Saturday
['Gerald Mackay'],Breakfast,2018-10-03 09:00:00+02:00,404,2018,1,Monday
['Ernest Broome' 'Elizabeth Streeter' 'Chris Yeend' 'Gerald Mackay'],Dinner,2018-07-10 22:00:00+02:00,527,2018,11,Wednesday
['Gerald Mackay' 'Chris Yeend' 'Ernest Broome'],Breakfast,2014-10-16 09:00:00+02:00,106,2014,12,Sunday
['Gerald Mackay' 'Ernest Broome' 'Earl Ward'],Lunch,2018-11-25 14:00:00+01:00,570,2018,24,Saturday
"['Chris Yeend' 'Earl Ward' 'Consuelo Toscano' 'Elizabeth Streeter'
 'Gerald Mackay']",Breakfast,2017-05-17 08:00:00+02:00,79,2017,21,Sunday
['Gerald Mackay' 'Chris Yeend' 'Earl Ward'],Dinner,2015-06-27 22:00:00+02:00,517,2015,1,Wednesday
['Elizabeth Streeter'],Breakfast,2017-01-17 09:00:00+01:00,71,2017,21,Saturday
['Elizabeth Streeter'],Dinner,2018-10-02 22:00:00+02:00,437,2018,5,Friday
['Consuelo Toscano'],Breakfast,2017-11-17 07:00:00+01:00,116,2017,19,Sunday
['Kenneth Loh' 'Chantal Green' 'Everett Robinson'],Dinner,2014-12-07 22:00:00+01:00,749,2014,7,Sunday
['Kenneth Loh' 'Rafael Rider' 'Everett Robinson'],Dinner,2015-06-23 21:00:00+02:00,387,2015,24,Wednesday
['Everett Robinson'],Breakfast,2016-12-31 07:00:00+01:00,711,2017,1,Sunday
['Chantal Green'],Breakfast,2017-06-20 09:00:00+02:00,758,2017,24,Saturday
['Rafael Rider'],Lunch,2016-12-01 14:00:00+01:00,643,2016,28,Monday
['Rafael Rider' 'Kenneth Loh' 'Chantal Green'],Lunch,2015-05-15 12:00:00+02:00,454,2015,16,Saturday
['Kenneth Loh'],Breakfast,2016-05-09 08:00:00+02:00,789,2016,14,Saturday
['Everett Robinson'],Lunch,2014-02-04 13:00:00+01:00,350,2014,31,Friday
['Everett Robinson' 'Chantal Green'],Breakfast,2017-11-11 09:00:00+01:00,19,2017,10,Friday
['Kenneth Loh' 'Rafael Rider' 'Everett Robinson'],Lunch,2018-11-01 13:00:00+01:00,537,2018,30,Tuesday
['Kenneth Loh' 'Everett Robinson' 'Chantal Green'],Lunch,2018-06-24 14:00:00+02:00,736,2018,23,Saturday
['Pansy Amo' 'Lori Santos'],Lunch,2015-05-02 13:00:00+02:00,546,2015,3,Sunday
['Pansy Amo' 'Irwin Zenger'],Dinner,2018-08-17 22:00:00+02:00,701,2018,17,Friday
['Pansy Amo' 'Lori Santos' 'Irwin Zenger'],Lunch,2017-11-29 14:00:00+01:00,522,2017,29,Wednesday
['Lori Santos'],Dinner,2016-10-01 21:00:00+02:00,157,2016,27,Tuesday
['Pansy Amo' 'Lori Santos'],Dinner,2015-12-03 20:00:00+01:00,177,2015,4,Friday
['Robin Sliwa' 'Sally Robinson'],Lunch,2016-09-19 13:00:00+02:00,191,2016,19,Monday
['Sally Robinson'],Breakfast,2014-08-26 07:00:00+02:00,283,2014,30,Saturday
['Robin Sliwa'],Breakfast,2014-03-07 08:00:00+01:00,16,2014,12,Wednesday
['Robin Sliwa'],Breakfast,2018-05-08 08:00:00+02:00,78,2018,11,Friday
['Sally Robinson' 'Robin Sliwa'],Dinner,2015-05-22 20:00:00+02:00,454,2015,22,Friday
['Erika Rodriguez'],Lunch,2014-05-17 13:00:00+02:00,287,2014,19,Monday
['Joan Murillo'],Breakfast,2017-09-14 09:00:00+02:00,678,2017,18,Monday
['Joan Murillo'],Dinner,2014-03-17 22:00:00+01:00,428,2014,21,Friday
['Joan Murillo'],Dinner,2015-07-26 22:00:00+02:00,203,2015,26,Sunday
['Joan Murillo'],Dinner,2016-04-10 20:00:00+02:00,328,2016,9,Saturday
['Joan Murillo'],Breakfast,2017-10-18 08:00:00+02:00,354,2017,20,Friday
['Joan Murillo'],Dinner,2014-09-25 22:00:00+02:00,749,2014,26,Friday
['Joan Murillo'],Dinner,2017-03-03 21:00:00+01:00,45,2017,2,Thursday
['Joan Murillo'],Dinner,2015-12-12 21:00:00+01:00,565,2015,16,Wednesday
['Joan Murillo'],Lunch,2016-02-13 13:00:00+01:00,48,2016,12,Friday
['Russell Calderon'],Dinner,2014-03-28 21:00:00+01:00,651,2014,2,Wednesday
['Thomas Mathews'],Lunch,2016-02-29 12:00:00+01:00,176,2016,4,Friday
['Angelo Lyerly'],Dinner,2018-10-20 20:00:00+02:00,109,2018,21,Sunday
['Angelo Lyerly' 'Scott Oatney' 'Adella Rivers'],Lunch,2018-02-23 13:00:00+01:00,284,2018,27,Tuesday
['Adella Rivers'],Breakfast,2015-07-15 09:00:00+02:00,410,2015,20,Monday
['Scott Oatney'],Breakfast,2015-12-08 09:00:00+01:00,328,2015,13,Sunday
['Angelo Lyerly'],Lunch,2018-04-29 14:00:00+02:00,395,2018,28,Saturday
['Adella Rivers'],Lunch,2017-01-06 13:00:00+01:00,529,2017,5,Thursday
['Tina Kobayashi'],Breakfast,2018-07-19 07:00:00+02:00,511,2018,19,Thursday
['Tina Kobayashi'],Breakfast,2016-07-08 07:00:00+02:00,436,2016,5,Tuesday
['Tina Kobayashi'],Dinner,2015-11-03 21:00:00+01:00,258,2015,30,Friday
['Tina Kobayashi'],Lunch,2014-12-16 13:00:00+01:00,133,2014,14,Sunday
['Tina Kobayashi'],Dinner,2015-04-20 21:00:00+02:00,634,2015,18,Saturday
['Tina Kobayashi'],Dinner,2017-12-12 20:00:00+01:00,147,2017,8,Friday
['Tina Kobayashi'],Lunch,2015-11-02 13:00:00+01:00,682,2015,2,Monday
['Tina Kobayashi'],Lunch,2017-09-26 14:00:00+02:00,337,2017,29,Friday
['Tina Kobayashi'],Lunch,2018-04-04 13:00:00+02:00,424,2018,31,Saturday
['Tina Kobayashi'],Lunch,2017-07-20 13:00:00+02:00,85,2017,25,Tuesday
['William Cleveland'],Breakfast,2016-08-25 07:00:00+02:00,101,2016,25,Thursday
['William Cleveland' 'William Bilderback' 'Joseph Mcelroy'],Lunch,2016-01-30 14:00:00+01:00,580,2016,28,Thursday
['Joseph Mcelroy'],Dinner,2014-06-10 20:00:00+02:00,169,2014,12,Thursday
['William Bilderback'],Dinner,2015-03-30 20:00:00+02:00,503,2015,27,Friday
['William Bilderback'],Lunch,2014-03-26 12:00:00+01:00,528,2014,26,Wednesday
['William Bilderback'],Lunch,2014-11-28 13:00:00+01:00,718,2014,2,Tuesday
['Renee Acevedo' 'William Cleveland' 'William Bilderback'],Lunch,2015-11-10 13:00:00+01:00,634,2015,9,Monday
['William Cleveland' 'William Bilderback' 'Joseph Mcelroy'],Lunch,2015-08-07 14:00:00+02:00,216,2015,6,Thursday
['William Bilderback'],Breakfast,2017-01-13 09:00:00+01:00,341,2017,10,Tuesday
['William Cleveland'],Dinner,2018-06-13 22:00:00+02:00,416,2018,11,Monday
['William Cleveland'],Lunch,2016-01-04 13:00:00+01:00,336,2016,5,Tuesday
['William Bilderback' 'Renee Acevedo'],Breakfast,2015-05-09 07:00:00+02:00,707,2015,10,Sunday
['William Bilderback' 'William Cleveland' 'Joseph Mcelroy'],Lunch,2017-02-26 12:00:00+01:00,174,2017,26,Sunday
['Kyle Larson'],Dinner,2016-02-06 21:00:00+01:00,366,2016,8,Monday
['Mark Fleming'],Lunch,2016-06-24 14:00:00+02:00,763,2016,27,Monday
['Kyle Larson'],Dinner,2016-04-21 20:00:00+02:00,465,2016,19,Tuesday
['Reginald Miller' 'Mark Fleming'],Dinner,2017-02-25 22:00:00+01:00,358,2017,28,Tuesday
['Kyle Larson'],Lunch,2014-01-15 13:00:00+01:00,588,2014,15,Wednesday
['Kyle Larson'],Lunch,2016-06-04 14:00:00+02:00,166,2016,4,Saturday
['Kyle Larson'],Lunch,2016-11-07 12:00:00+01:00,62,2016,12,Saturday
['Kyle Larson' 'Reginald Miller'],Lunch,2015-09-05 13:00:00+02:00,529,2015,1,Tuesday
['Reginald Miller' 'Mark Fleming'],Breakfast,2014-11-17 09:00:00+01:00,238,2014,18,Tuesday
['Reginald Miller' 'Mark Fleming'],Lunch,2018-05-15 12:00:00+02:00,446,2018,11,Friday
['Mark Fleming'],Dinner,2017-03-17 21:00:00+01:00,152,2017,22,Wednesday
['Kyle Larson'],Lunch,2017-05-14 14:00:00+02:00,756,2017,17,Wednesday
['Reginald Miller' 'Kyle Larson'],Dinner,2015-08-21 20:00:00+02:00,250,2015,18,Tuesday
['David Pond'],Breakfast,2015-08-12 07:00:00+02:00,103,2015,8,Saturday
['Willie Sanchez' 'Providencia Welch'],Dinner,2018-02-03 20:00:00+01:00,147,2018,1,Thursday
['Willie Sanchez'],Dinner,2015-08-22 20:00:00+02:00,126,2015,24,Monday
['Providencia Welch' 'Stephanie Konon' 'Willie Sanchez'],Lunch,2018-12-09 13:00:00+01:00,378,2018,9,Sunday
['Willie Sanchez' 'Providencia Welch' 'David Pond'],Dinner,2014-01-23 21:00:00+01:00,626,2014,20,Monday
['Willie Sanchez'],Lunch,2018-01-12 12:00:00+01:00,71,2018,9,Tuesday
['David Pond' 'Willie Sanchez'],Dinner,2018-03-30 20:00:00+02:00,304,2018,3,Tuesday
['Providencia Welch'],Lunch,2018-10-19 13:00:00+02:00,464,2018,19,Friday
['David Pond'],Lunch,2018-05-21 14:00:00+02:00,531,2018,17,Thursday
['Stephanie Konon'],Breakfast,2017-02-12 08:00:00+01:00,722,2017,10,Friday
['David Pond'],Breakfast,2014-11-12 08:00:00+01:00,214,2014,9,Sunday
['Cathy Freeman' 'Joseph Eschen'],Dinner,2016-01-17 20:00:00+01:00,457,2016,15,Friday
['Cathy Freeman'],Breakfast,2014-07-22 07:00:00+02:00,67,2014,25,Friday
['Cathy Freeman' 'Lee Furtado'],Dinner,2017-09-28 22:00:00+02:00,932,2017,2,Monday
['Joseph Eschen' 'Lee Furtado' 'Eric Moya'],Dinner,2016-03-31 22:00:00+02:00,324,2016,1,Friday
['Cathy Freeman'],Lunch,2014-07-21 12:00:00+02:00,906,2014,17,Thursday
['Joseph Eschen' 'Cathy Freeman'],Dinner,2016-05-10 22:00:00+02:00,317,2016,10,Tuesday
['Cathy Freeman'],Dinner,2017-09-08 22:00:00+02:00,102,2017,6,Wednesday
['Joseph Eschen'],Dinner,2017-05-21 21:00:00+02:00,412,2017,20,Saturday
['Joseph Eschen' 'Lee Furtado'],Lunch,2018-04-26 14:00:00+02:00,451,2018,25,Wednesday
['Joseph Eschen' 'Cathy Freeman'],Breakfast,2014-03-26 07:00:00+01:00,94,2014,23,Sunday
['Eric Moya'],Lunch,2015-06-24 14:00:00+02:00,577,2015,29,Monday
['Cathy Freeman' 'Eric Moya' 'Lee Furtado'],Dinner,2017-06-22 22:00:00+02:00,533,2017,20,Tuesday
['Cathy Freeman'],Breakfast,2015-03-03 08:00:00+01:00,430,2015,6,Friday
['Lee Furtado' 'Cathy Freeman' 'Eric Moya'],Dinner,2015-03-18 20:00:00+01:00,341,2015,23,Monday
['Lee Furtado'],Breakfast,2017-10-08 08:00:00+02:00,201,2017,6,Friday
['Sarah Walters'],Lunch,2014-05-28 14:00:00+02:00,682,2014,30,Friday
['Celia Lucio'],Lunch,2014-05-13 14:00:00+02:00,559,2014,9,Friday
['Barbara Martinez' 'Celia Lucio' 'Sarah Walters'],Lunch,2017-07-19 13:00:00+02:00,405,2017,22,Saturday
['Shirley Azar'],Breakfast,2016-06-11 08:00:00+02:00,39,2016,7,Tuesday
['Sarah Walters' 'Shirley Azar' 'Barbara Martinez'],Lunch,2017-08-12 13:00:00+02:00,218,2017,16,Wednesday
['Shirley Azar'],Lunch,2014-08-24 12:00:00+02:00,794,2014,27,Wednesday
['Sarah Walters' 'Celia Lucio'],Lunch,2016-02-20 14:00:00+01:00,73,2016,22,Monday
['Celia Lucio'],Lunch,2018-11-05 12:00:00+01:00,316,2018,5,Monday
['Sarah Walters' 'Barbara Martinez'],Breakfast,2015-11-30 09:00:00+01:00,377,2015,2,Wednesday
['Shirley Azar' 'Sarah Walters' 'Barbara Martinez'],Dinner,2016-09-08 20:00:00+02:00,65,2016,11,Sunday
['Barbara Martinez'],Breakfast,2016-08-10 09:00:00+02:00,336,2016,12,Friday
['Sarah Walters' 'Shirley Azar'],Dinner,2017-01-31 20:00:00+01:00,615,2017,29,Sunday
['Sarah Walters' 'Celia Lucio' 'Shirley Azar'],Breakfast,2016-04-20 07:00:00+02:00,271,2016,24,Sunday
['Celia Lucio'],Dinner,2018-05-29 21:00:00+02:00,593,2018,1,Friday
['Harry Mansfield'],Dinner,2018-07-29 20:00:00+02:00,470,2018,3,Friday
['Harry Mansfield'],Breakfast,2016-04-03 09:00:00+02:00,734,2016,1,Friday
['Harry Mansfield'],Breakfast,2018-06-17 09:00:00+02:00,459,2018,21,Thursday
['Harry Mansfield'],Lunch,2018-02-27 13:00:00+01:00,594,2018,4,Sunday
['Harry Mansfield'],Dinner,2018-03-03 20:00:00+01:00,823,2018,7,Wednesday
['Harry Mansfield'],Lunch,2018-12-12 12:00:00+01:00,55,2018,12,Wednesday
['Harry Mansfield'],Lunch,2014-07-06 14:00:00+02:00,255,2014,5,Saturday
['Harry Mansfield'],Dinner,2014-09-06 20:00:00+02:00,485,2014,3,Wednesday
['Harry Mansfield'],Lunch,2014-07-21 13:00:00+02:00,487,2014,19,Saturday
['Harry Mansfield'],Lunch,2015-01-05 14:00:00+01:00,485,2015,4,Sunday
['Harry Mansfield'],Dinner,2016-10-10 21:00:00+02:00,195,2016,14,Friday
['Mary Ewing'],Breakfast,2018-10-23 07:00:00+02:00,389,2018,25,Thursday
['Leopoldo Tabor'],Breakfast,2014-02-10 07:00:00+01:00,578,2014,7,Friday
['Mary Ewing'],Dinner,2016-12-17 20:00:00+01:00,321,2016,14,Wednesday
['Mary Ewing'],Breakfast,2014-09-15 07:00:00+02:00,57,2014,11,Thursday
['Leopoldo Tabor'],Lunch,2015-04-12 14:00:00+02:00,264,2015,9,Thursday
['Leopoldo Tabor'],Lunch,2017-01-29 12:00:00+01:00,330,2017,27,Friday
['Mary Ewing'],Breakfast,2018-01-08 09:00:00+01:00,35,2018,4,Thursday
['Todd Whitley'],Dinner,2017-12-30 21:00:00+01:00,652,2018,1,Monday
['Pearl Ellis' 'Elizabeth Lee'],Breakfast,2014-10-04 09:00:00+02:00,777,2014,30,Tuesday
['George Burgess'],Dinner,2014-11-06 22:00:00+01:00,402,2014,7,Friday
['Elizabeth Lee'],Dinner,2018-01-22 22:00:00+01:00,261,2018,24,Wednesday
['Todd Whitley' 'Elizabeth Lee' 'Pearl Ellis'],Lunch,2016-03-20 13:00:00+01:00,534,2016,25,Friday
['George Burgess'],Breakfast,2016-11-18 09:00:00+01:00,537,2016,21,Monday
['Elizabeth Lee' 'Todd Whitley'],Lunch,2015-03-18 13:00:00+01:00,524,2015,19,Thursday
['Todd Whitley' 'Elizabeth Lee' 'Pearl Ellis'],Dinner,2018-06-30 22:00:00+02:00,646,2018,30,Saturday
['Elizabeth Lee'],Dinner,2016-02-18 22:00:00+01:00,361,2016,18,Thursday
['Elizabeth Lee'],Dinner,2014-07-20 20:00:00+02:00,393,2014,16,Wednesday
['George Burgess'],Lunch,2017-10-11 12:00:00+02:00,337,2017,16,Monday
['Elizabeth Lee'],Lunch,2015-03-28 14:00:00+01:00,498,2015,29,Sunday
['Elizabeth Lee'],Dinner,2018-12-10 21:00:00+01:00,24,2018,13,Thursday
['George Burgess' 'Pearl Ellis' 'Todd Whitley'],Breakfast,2016-06-27 07:00:00+02:00,719,2016,30,Thursday
['Pearl Ellis'],Breakfast,2016-01-14 09:00:00+01:00,566,2016,15,Friday
['Joan Kemp'],Dinner,2016-03-31 22:00:00+02:00,348,2016,1,Friday
['Melissa Gustafson'],Breakfast,2016-02-22 07:00:00+01:00,394,2016,27,Saturday
['Joan Kemp'],Breakfast,2018-07-22 09:00:00+02:00,305,2018,27,Friday
['Miriam Rodriguez'],Dinner,2016-01-02 22:00:00+01:00,605,2015,31,Thursday
['Melissa Gustafson' 'Miriam Rodriguez'],Lunch,2018-02-07 12:00:00+01:00,330,2018,6,Tuesday
['Melissa Gustafson' 'Miriam Rodriguez'],Lunch,2018-05-26 13:00:00+02:00,81,2018,27,Sunday
['Miriam Rodriguez'],Breakfast,2014-08-05 07:00:00+02:00,183,2014,4,Monday
['Melissa Gustafson'],Lunch,2016-11-23 14:00:00+01:00,175,2016,19,Saturday
['Vanessa Garcia'],Breakfast,2016-10-30 07:00:00+01:00,282,2016,1,Tuesday
['Regina Hess' 'Patrick Flowers' 'Albert Ordway'],Dinner,2014-02-27 22:00:00+01:00,470,2014,25,Tuesday
['Patrick Flowers'],Dinner,2014-04-14 20:00:00+02:00,485,2014,12,Saturday
['Regina Hess'],Lunch,2016-10-02 14:00:00+02:00,966,2016,6,Thursday
['Regina Hess'],Dinner,2016-01-29 22:00:00+01:00,253,2016,26,Tuesday
['Vanessa Garcia' 'Patrick Flowers'],Dinner,2014-09-09 21:00:00+02:00,205,2014,8,Monday
['Albert Ordway'],Lunch,2017-10-17 12:00:00+02:00,483,2017,17,Tuesday
['Albert Ordway'],Breakfast,2016-11-23 08:00:00+01:00,120,2016,27,Sunday
['Regina Hess'],Lunch,2016-09-01 12:00:00+02:00,301,2016,31,Wednesday
['Albert Ordway'],Breakfast,2015-04-13 08:00:00+02:00,217,2015,13,Monday
['Albert Ordway' 'Vanessa Garcia'],Breakfast,2017-10-16 09:00:00+02:00,627,2017,13,Friday
['Albert Ordway' 'Regina Hess'],Breakfast,2016-08-23 07:00:00+02:00,49,2016,21,Sunday
['Jill Holland'],Breakfast,2017-05-15 09:00:00+02:00,467,2017,13,Saturday
['Jill Holland'],Lunch,2018-04-13 13:00:00+02:00,159,2018,10,Tuesday
['Jill Holland'],Breakfast,2016-12-29 07:00:00+01:00,395,2017,3,Tuesday
['Jill Holland'],Lunch,2017-06-09 12:00:00+02:00,719,2017,11,Sunday
['Jill Holland'],Dinner,2018-06-29 21:00:00+02:00,88,2018,3,Tuesday
['Jill Holland'],Lunch,2014-07-18 13:00:00+02:00,119,2014,23,Wednesday
['Jill Holland'],Lunch,2017-12-26 14:00:00+01:00,214,2017,23,Saturday
['Jill Holland'],Dinner,2014-08-28 21:00:00+02:00,672,2014,29,Friday
['Jill Holland'],Dinner,2018-03-21 21:00:00+01:00,578,2018,21,Wednesday
['Jill Holland'],Dinner,2018-06-29 22:00:00+02:00,241,2018,2,Monday
['Edward Crow' 'Mary Smith'],Breakfast,2014-01-29 07:00:00+01:00,645,2014,30,Thursday
['Martha Coleman' 'Gerald Swigert' 'Mary Smith'],Breakfast,2018-01-11 07:00:00+01:00,387,2018,7,Sunday
['Ramiro Kues' 'Martha Coleman' 'Edward Crow'],Breakfast,2015-05-14 08:00:00+02:00,803,2015,17,Sunday
['Gerald Swigert' 'Edward Crow' 'Martha Coleman'],Lunch,2016-03-29 12:00:00+02:00,780,2016,26,Saturday
['Gerald Swigert' 'Martha Coleman' 'Edward Crow'],Breakfast,2014-01-26 08:00:00+01:00,692,2014,22,Wednesday
['Ramiro Kues'],Lunch,2015-04-19 13:00:00+02:00,542,2015,24,Friday
['Gerald Swigert' 'Ramiro Kues'],Breakfast,2015-01-30 07:00:00+01:00,900,2015,1,Sunday
['Edward Crow' 'Martha Coleman'],Dinner,2018-03-30 20:00:00+02:00,385,2018,30,Friday
['Gerald Swigert' 'Edward Crow' 'Ramiro Kues' 'Mary Smith'],Dinner,2017-09-13 20:00:00+02:00,525,2017,13,Wednesday
['Edward Crow' 'Mary Smith' 'Gerald Swigert'],Dinner,2016-05-11 21:00:00+02:00,448,2016,11,Wednesday
['Sandra Cobbs' 'Michael Romain' 'Michael Penney'],Dinner,2017-01-27 22:00:00+01:00,93,2017,26,Thursday
['Christopher Estwick'],Breakfast,2017-08-06 09:00:00+02:00,589,2017,4,Friday
['Sandra Cobbs' 'Michael Penney' 'Michael Romain'],Dinner,2017-08-23 21:00:00+02:00,531,2017,25,Friday
"['Karen Howell' 'Brian Gardner' 'Sandra Cobbs' 'Michael Romain'
 'Christopher Estwick']",Dinner,2014-05-03 20:00:00+02:00,272,2014,3,Saturday
['Michael Penney' 'Michael Romain' 'Brian Gardner'],Breakfast,2016-10-04 07:00:00+02:00,607,2016,4,Tuesday
['Sandra Cobbs' 'Christopher Estwick' 'Karen Howell'],Lunch,2014-07-28 12:00:00+02:00,633,2014,31,Thursday
['Karen Howell' 'Brian Gardner' 'Christopher Estwick'],Dinner,2014-01-11 21:00:00+01:00,799,2014,14,Tuesday
['Michael Romain' 'Sandra Cobbs' 'Brian Gardner'],Breakfast,2017-07-02 09:00:00+02:00,319,2017,1,Saturday
['Karen Howell'],Dinner,2018-03-19 22:00:00+01:00,684,2018,18,Sunday
['Sandra Cobbs' 'Michael Penney' 'Michael Romain' 'Karen Howell'],Dinner,2018-08-09 21:00:00+02:00,365,2018,9,Thursday
['Sandra Cobbs' 'Christopher Estwick' 'Michael Penney'],Breakfast,2016-08-16 07:00:00+02:00,233,2016,20,Saturday
['Manuel Miller'],Dinner,2018-04-25 20:00:00+02:00,219,2018,23,Monday
['Phyllis Bartlett' 'Robert Reale' 'Dorothy Smith'],Breakfast,2016-11-21 08:00:00+01:00,664,2016,25,Friday
['Dorothy Smith' 'Brenda Azen'],Lunch,2013-12-29 14:00:00+01:00,560,2014,2,Thursday
['Brenda Azen' 'Manuel Miller' 'Robert Reale'],Lunch,2016-03-05 14:00:00+01:00,645,2016,5,Saturday
['Robert Reale' 'Manuel Miller' 'Erma Meeks'],Breakfast,2016-04-16 09:00:00+02:00,169,2016,16,Saturday
['Erma Meeks' 'Dorothy Smith'],Lunch,2014-08-11 14:00:00+02:00,175,2014,7,Thursday
['Manuel Miller' 'Robert Reale'],Breakfast,2017-03-03 08:00:00+01:00,876,2017,27,Monday
['Robert Reale'],Dinner,2018-10-23 20:00:00+02:00,114,2018,21,Sunday
['Dorothy Smith'],Breakfast,2018-11-24 08:00:00+01:00,292,2018,26,Monday
['Erma Meeks' 'Phyllis Bartlett' 'Manuel Miller'],Dinner,2014-03-01 22:00:00+01:00,284,2014,6,Thursday
['Dorothy Smith' 'Brenda Azen'],Breakfast,2016-10-20 09:00:00+02:00,287,2016,18,Tuesday
['Manuel Miller' 'Erma Meeks'],Lunch,2014-11-28 12:00:00+01:00,462,2014,29,Saturday
['Brenda Azen' 'Dorothy Smith' 'Robert Reale' 'Manuel Miller'],Breakfast,2015-10-31 07:00:00+01:00,352,2015,5,Thursday
['Ruby Alix' 'Logan Ussery'],Lunch,2015-11-12 13:00:00+01:00,411,2015,10,Tuesday
['Ruby Alix'],Breakfast,2016-04-10 07:00:00+02:00,45,2016,14,Thursday
['Logan Ussery' 'Maria Henry'],Lunch,2014-11-23 13:00:00+01:00,137,2014,23,Sunday
['Logan Ussery'],Breakfast,2017-02-11 09:00:00+01:00,565,2017,14,Tuesday
['Logan Ussery' 'Ruby Alix'],Lunch,2018-04-12 14:00:00+02:00,556,2018,11,Wednesday
['Maria Henry'],Breakfast,2018-04-23 08:00:00+02:00,147,2018,27,Friday
['Logan Ussery' 'Maria Henry'],Lunch,2017-05-15 14:00:00+02:00,210,2017,16,Tuesday
['Maria Henry' 'Logan Ussery'],Lunch,2015-08-07 14:00:00+02:00,542,2015,12,Wednesday
['Ruby Alix'],Dinner,2015-06-05 20:00:00+02:00,748,2015,3,Wednesday
['Maria Henry'],Lunch,2018-07-21 13:00:00+02:00,251,2018,22,Sunday
['Maria Henry' 'Logan Ussery'],Lunch,2018-12-14 14:00:00+01:00,515,2018,15,Saturday
['Logan Ussery' 'Ruby Alix'],Breakfast,2016-02-29 07:00:00+01:00,767,2016,29,Monday
['Nora Etheridge'],Lunch,2017-06-15 14:00:00+02:00,166,2017,13,Tuesday
['Nora Etheridge'],Lunch,2016-03-17 13:00:00+01:00,427,2016,17,Thursday
['Nora Etheridge'],Dinner,2016-03-23 20:00:00+01:00,550,2016,19,Saturday
['Nora Etheridge'],Breakfast,2015-08-04 07:00:00+02:00,261,2015,6,Thursday
['Nora Etheridge'],Dinner,2016-03-18 22:00:00+01:00,792,2016,18,Friday
['Nora Etheridge'],Breakfast,2016-11-12 07:00:00+01:00,484,2016,9,Wednesday
['Nora Etheridge'],Lunch,2018-03-22 13:00:00+01:00,121,2018,18,Sunday
['Nora Etheridge'],Dinner,2016-09-27 20:00:00+02:00,183,2016,27,Tuesday
['Nora Etheridge'],Lunch,2014-01-25 14:00:00+01:00,326,2014,24,Friday
['Nora Etheridge'],Breakfast,2018-01-05 09:00:00+01:00,553,2018,6,Saturday
['Nora Etheridge'],Dinner,2017-11-23 22:00:00+01:00,156,2017,20,Monday
['Maria Brathwaite'],Lunch,2017-11-22 12:00:00+01:00,229,2017,19,Sunday
['Daniel Walker'],Dinner,2014-03-06 20:00:00+01:00,17,2014,8,Saturday
['Maria Brathwaite' 'Candida Herold' 'Daniel Walker'],Lunch,2015-10-22 12:00:00+02:00,606,2015,25,Sunday
['Candida Herold' 'Daniel Walker' 'Matthew Munoz'],Dinner,2016-06-02 22:00:00+02:00,52,2016,29,Sunday
['Maria Brathwaite' 'Daniel Walker'],Breakfast,2017-06-09 08:00:00+02:00,682,2017,7,Wednesday
['Maria Brathwaite'],Lunch,2016-06-30 14:00:00+02:00,589,2016,28,Tuesday
['Matthew Munoz'],Dinner,2014-01-10 22:00:00+01:00,628,2014,10,Friday
['Oscar Griffis' 'Freddie Digeorgio' 'Helen Menchaca' 'Brent Marin'],Dinner,2016-08-03 20:00:00+02:00,487,2016,5,Friday
['Helen Menchaca' 'Pauline Womble' 'Freddie Digeorgio'],Lunch,2016-03-14 14:00:00+01:00,104,2016,12,Saturday
['Pauline Womble' 'Brent Marin' 'Oscar Griffis'],Breakfast,2016-12-24 09:00:00+01:00,103,2016,28,Wednesday
['Freddie Digeorgio'],Breakfast,2015-07-11 09:00:00+02:00,66,2015,12,Sunday
['Freddie Digeorgio'],Dinner,2016-03-27 22:00:00+02:00,571,2016,25,Friday
['Sergio Mathews'],Dinner,2015-06-26 20:00:00+02:00,204,2015,1,Wednesday
['Sergio Mathews'],Dinner,2017-01-23 20:00:00+01:00,67,2017,25,Wednesday
['Sergio Mathews'],Dinner,2018-06-27 20:00:00+02:00,260,2018,30,Saturday
['Sergio Mathews'],Breakfast,2016-02-13 08:00:00+01:00,565,2016,12,Friday
